Country,Gold Medal,Silver Medal,Bronze Medal,Total,Rank By Total
People's Republic of China,37,27,17,81,2
United States of America,32,36,32,100,1
Japan,24,11,16,51,5
Great Britain,18,20,20,58,4
ROC,17,24,22,63,3
Australia,17,6,21,44,6
Germany,10,11,16,37,8
Italy,10,10,18,38,7
Netherlands,9,10,12,31,9
France,7,12,9,28,10
New Zealand,7,6,6,19,12
Hungary,6,7,5,18,14
Canada,6,6,11,23,11
Republic of Korea,6,4,9,19,12
Cuba,6,3,4,13,18
Brazil,5,4,8,17,15
Poland,4,4,5,13,18
Czech Republic,4,3,2,9,23
Jamaica,4,1,3,8,25
Spain,3,6,5,14,17
Switzerland,3,4,6,13,18
Croatia,3,3,2,8,25
Kenya,3,3,2,8,25
Norway,3,2,1,6,33
Belgium,3,1,1,5,36
Slovenia,3,1,1,5,36
Sweden,2,6,0,8,25
Georgia,2,5,1,8,25
Chinese Taipei,2,4,6,12,21
Denmark,2,3,4,9,23
Islamic Republic of Iran,2,2,2,6,33
Serbia,2,1,4,7,30
Uganda,2,1,1,4,42
Ecuador,2,1,0,3,55
Uzbekistan,2,0,2,4,42
Greece,2,0,1,3,55
Qatar,2,0,1,3,55
Bahamas,2,0,0,2,65
Kosovo,2,0,0,2,65
Ukraine,1,4,10,15,16
Belarus,1,3,2,6,33
Romania,1,3,0,4,42
Venezuela,1,3,0,4,42
"Hong Kong, China",1,2,2,5,36
Slovakia,1,2,1,4,42
South Africa,1,2,0,3,55
Turkey,1,1,8,10,22
Austria,1,1,5,7,30
Indonesia,1,1,3,5,36
Bulgaria,1,1,2,4,42
Portugal,1,1,2,4,42
Ethiopia,1,1,1,3,55
Philippines,1,1,1,3,55
Tunisia,1,1,0,2,65
Ireland,1,0,2,3,55
Israel,1,0,2,3,55
Estonia,1,0,1,2,65
Fiji,1,0,1,2,65
Latvia,1,0,1,2,65
Thailand,1,0,1,2,65
Bermuda,1,0,0,1,76
Morocco,1,0,0,1,76
Puerto Rico,1,0,0,1,76
Colombia,0,4,1,5,36
Dominican Republic,0,3,1,4,42
India,0,2,3,5,36
Armenia,0,2,2,4,42
Kyrgyzstan,0,2,1,3,55
Azerbaijan,0,1,3,4,42
Mongolia,0,1,3,4,42
San Marino,0,1,2,3,55
Argentina,0,1,1,2,65
Jordan,0,1,1,2,65
Nigeria,0,1,1,2,65
Lithuania,0,1,0,1,76
North Macedonia,0,1,0,1,76
Namibia,0,1,0,1,76
Turkmenistan,0,1,0,1,76
Kazakhstan,0,0,7,7,30
Egypt,0,0,4,4,42
Mexico,0,0,4,4,42
Finland,0,0,2,2,65
Burkina Faso,0,0,1,1,76
Côte d'Ivoire,0,0,1,1,76
Ghana,0,0,1,1,76
Grenada,0,0,1,1,76
Kuwait,0,0,1,1,76
Malaysia,0,0,1,1,76
Republic of Moldova,0,0,1,1,76
Syrian Arab Republic,0,0,1,1,76
